state,pop
TX,3936669
FL,3867495
NY,3763977
GA,3549349
CA,3024208
NC,2448077
IL,1991107
MD,1972270
VA,1825228
PA,1705705
OH,1692390
LA,1571529
MI,1540612
NJ,1455615
SC,1438997
AL,1352906
TN,1227260
MS,1152261
MO,797005
IN,742868
MA,716148
AR,499364
CT,482577
MN,452437
WI,448592
AZ,446459
WA,428733
KY,428733
OK,373334
NV,356416
DC,338373
CO,326081
DE,239727
KS,221647
IA,158145
OR,135429
NE,120916
RI,107361
WV,83686
NM,70653
UT,66989
HI,51031
AK,39950
NH,32481
ND,30965
ME,29923
SD,27697
ID,25267
VT,12936
MT,12007
WY,11306
