state,pop
WA,7614893
WI,5822434
WV,1792147
FL,21477737
FM,104929
WY,578759
NH,1359711
NJ,8882190
NM,2096829
NC,10488084
ND,762062
NE,1934408
NY,19453561
RI,1059361
NV,3080156
GU,167294
CO,5758736
CA,39512223
GA,10617423
CT,3565287
OK,3956971
OH,11689100
KS,2913314
SC,5148714
KY,4467673
OR,4217737
SD,884659
DE,973764
DC,705749
HI,1415872
PR,3193694
PW,18008
TX,28995881
LA,4648794
TN,6829174
PA,12801989
VA,8535519
VI,104578
AK,731545
AL,4903185
AS,55312
AR,3017804
VT,623989
IL,12671821
IN,6732219
IA,3155070
AZ,7278717
ID,1787065
ME,1344212
MD,6045680
MA,6892503
UT,3205958
MO,6137428
MN,5639632
MI,9986857
MH,58791
MT,1068778
MP,51994
MS,2976149
